difficulty person_idx time_ms score
3 159 50 2
3 10 50 1
3 91 50 1
3 13 50 1
3 788 50 3
3 368 50 4
3 781 50 4
3 158 50 1
3 662 50 2
3 477 50 2
3 245 50 2
3 725 52 2
3 390 52 2
3 763 52 4
3 89 52 1
3 15 52 3
3 262 52 3
3 692 52 2
3 627 52 2
3 159 52 2
3 10 52 3
3 91 52 2
3 13 52 1
3 788 52 3
3 368 52 4
3 781 52 4
3 158 52 1
3 662 52 2
3 477 52 2
3 245 52 2
3 725 53 2
3 390 53 2
3 763 53 4
3 89 53 1
3 15 53 3
3 262 53 3
3 692 53 2
3 627 53 2
3 159 53 2
3 10 53 3
3 91 53 2
3 13 53 1
3 788 53 3
3 368 53 4
3 781 53 4
3 158 53 1
3 662 53 2
3 477 53 2
3 245 53 2
3 725 141 2
3 390 141 2
3 763 141 6
3 89 141 2
3 15 141 3
3 262 141 3
3 692 141 3
3 627 141 2
3 159 141 2
3 10 141 3
3 91 141 2
3 13 141 1
3 788 141 3
3 368 141 4
3 781 141 4
3 158 141 1
3 662 141 2
3 477 141 2
3 245 141 2
3 725 151 2
3 390 151 2
3 763 151 6
3 89 151 2
3 15 151 3
3 262 151 3
3 692 151 3
3 627 151 2
3 159 151 2
3 10 151 3
3 91 151 3
3 13 151 3
3 788 151 3
3 368 151 6
3 781 151 4
3 158 151 1
3 662 151 2
3 477 151 2
3 245 151 2
3 725 160 2
3 390 160 2
3 763 160 6
3 89 160 2
3 15 160 3
3 262 160 3
3 692 160 3
3 627 160 2
3 159 160 2
3 10 160 3
3 91 160 3
3 13 160 3
3 788 160 3
3 368 160 6
3 781 160 4
3 158 160 1
3 662 160 2
3 477 160 4
3 245 160 2
3 725 391 2
3 390 391 2
3 763 391 6
3 89 391 2
3 15 391 3
3 262 391 3
3 692 391 3
3 627 391 2
3 159 391 2
3 10 391 3
3 91 391 3
3 13 391 3
3 788 391 3
3 368 391 6
3 781 391 4
3 158 391 1
3 662 391 2
3 477 391 4
3 245 391 2
3 725 392 2
3 390 392 2
3 763 392 6
3 89 392 2
3 15 392 3
3 262 392 3
3 692 392 3
3 627 392 2
3 159 392 2
3 10 392 3
3 91 392 3
3 13 392 3
3 788 392 3
3 368 392 6
3 781 392 4
3 158 392 1
3 662 392 2
3 477 392 4
3 245 392 2
3 725 393 2
3 390 393 2
3 763 393 9
3 89 393 2
3 15 393 3
3 262 393 4
3 692 393 3
3 627 393 2
3 159 393 2
3 10 393 5
3 91 393 7
3 13 393 4
3 788 393 3
3 368 393 6
3 781 393 7
3 158 393 1
3 662 393 2
3 477 393 4
3 245 393 2
3 725 402 4
3 390 402 6
3 763 402 9
3 89 402 2
3 15 402 4
3 262 402 4
3 692 402 3
3 627 402 3
3 159 402 2
3 10 402 5
3 91 402 7
3 13 402 4
3 788 402 3
3 368 402 6
3 781 402 7
3 158 402 1
3 662 402 2
3 477 402 4
3 245 402 2
3 725 416 4
3 390 416 6
3 763 416 9
3 89 416 2
3 15 416 4
3 262 416 4
3 692 416 3
3 627 416 3
3 159 416 2
3 10 416 5
3 91 416 7
3 13 416 4
3 788 416 3
3 368 416 6
3 781 416 7
3 158 416 1
3 662 416 2
3 477 416 4
3 245 416 2
3 725 417 4
3 390 417 6
3 763 417 9
3 89 417 2
3 15 417 4
3 262 417 4
3 692 417 3
3 627 417 3
3 159 417 2
3 10 417 5
3 91 417 7
3 13 417 4
3 788 417 3
3 368 417 6
3 781 417 7
3 158 417 1
3 662 417 2
3 477 417 4
3 245 417 2
3 725 469 4
3 390 469 6
3 763 469 9
3 89 469 2
3 15 469 4
3 262 469 4
3 692 469 3
3 627 469 3
3 159 469 2
3 10 469 5
3 91 469 7
3 13 469 4
3 788 469 3
3 368 469 6
3 781 469 7
3 158 469 1
3 662 469 2
3 477 469 4
3 245 469 2
3 725 522 4
3 390 522 6
3 763 522 9
3 89 522 2
3 15 522 4
3 262 522 4
3 692 522 3
3 627 522 3
3 159 522 2
3 10 522 5
3 91 522 7
3 13 522 4
3 788 522 3
3 368 522 6
3 781 522 7
3 158 522 1
3 662 522 2
3 477 522 4
3 245 522 2
3 725 677 4
3 390 677 6
3 763 677 9
3 89 677 2
3 15 677 4
3 262 677 4
3 692 677 3
3 627 677 3
3 159 677 2
3 10 677 5
3 91 677 7
3 13 677 4
3 788 677 3
3 368 677 6
3 781 677 7
3 158 677 1
3 662 677 2
3 477 677 4
3 245 677 2
3 725 681 4
3 390 681 6
3 763 681 9
3 89 681 2
3 15 681 4
3 262 681 4
3 692 681 3
3 627 681 3
3 159 681 2
3 10 681 5
3 91 681 7
3 13 681 4
3 788 681 3
3 368 681 6
3 781 681 7
3 158 681 1
3 662 681 2
3 477 681 4
3 245 681 2
3 725 690 4
3 390 690 6
3 763 690 9
3 89 690 2
3 15 690 4
3 262 690 4
3 692 690 3
3 627 690 3
3 159 690 2
3 10 690 5
3 91 690 7
3 13 690 4
3 788 690 3
3 368 690 6
3 781 690 7
3 158 690 1
3 662 690 2
3 477 690 4
3 245 690 2
3 725 697 4
3 390 697 6
3 763 697 9
3 89 697 2
3 15 697 4
3 262 697 4
3 692 697 3
3 627 697 3
3 159 697 2
3 10 697 5
3 91 697 7
3 13 697 4
3 788 697 3
3 368 697 6
3 781 697 7
3 158 697 1
3 662 697 2
3 477 697 4
3 245 697 2
3 725 698 5
3 390 698 6
3 763 698 9
3 89 698 2
3 15 698 4
3 262 698 4
3 692 698 3
3 627 698 3
3 159 698 2
3 10 698 9
3 91 698 9
3 13 698 7
3 788 698 3
3 368 698 7
3 781 698 9
3 158 698 1
3 662 698 2
3 477 698 4
3 245 698 2
3 725 699 5
3 390 699 6
3 763 699 9
3 89 699 2
3 15 699 4
3 262 699 4
3 692 699 3
3 627 699 3
3 159 699 2
3 10 699 9
3 91 699 9
3 13 699 7
3 788 699 3
3 368 699 7
3 781 699 9
3 158 699 1
3 662 699 2
3 477 699 4
3 245 699 2
3 725 1091 5
3 390 1091 6
3 763 1091 9
3 89 1091 2
3 15 1091 4
3 262 1091 4
3 692 1091 3
3 627 1091 3
3 159 1091 2
3 10 1091 9
3 91 1091 9
3 13 1091 7
3 788 1091 3
3 368 1091 7
3 781 1091 9
3 158 1091 1
3 662 1091 2
3 477 1091 4
3 245 1091 2
3 725 1099 5
3 390 1099 6
3 763 1099 9
3 89 1099 2
3 15 1099 4
3 262 1099 4
3 692 1099 3
3 627 1099 3
3 159 1099 2
3 10 1099 9
3 91 1099 9
3 13 1099 7
3 788 1099 3
3 368 1099 7
3 781 1099 9
3 158 1099 1
3 662 1099 2
3 477 1099 4
3 245 1099 2
3 725 1272 5
3 390 1272 6
3 763 1272 9
3 89 1272 2
3 15 1272 4
3 262 1272 4
3 692 1272 3
3 627 1272 3
3 159 1272 2
3 10 1272 9
3 91 1272 9
3 13 1272 7
3 788 1272 3
3 368 1272 7
3 781 1272 9
3 158 1272 1
3 662 1272 2
3 477 1272 4
3 245 1272 2
3 725 1273 5
3 390 1273 6
3 763 1273 9
3 89 1273 2
3 15 1273 4
3 262 1273 4
3 692 1273 3
3 627 1273 3
3 159 1273 2
3 10 1273 9
3 91 1273 9
3 13 1273 7
3 788 1273 3
3 368 1273 7
3 781 1273 9
3 158 1273 1
3 662 1273 2
3 477 1273 4
3 245 1273 2
3 725 1274 7
3 390 1274 6
3 763 1274 11
3 89 1274 2
3 15 1274 5
3 262 1274 6
3 692 1274 3
3 627 1274 3
3 159 1274 2
3 10 1274 9
3 91 1274 9
3 13 1274 9
3 788 1274 3
3 368 1274 7
3 781 1274 9
3 158 1274 1
3 662 1274 2
3 477 1274 4
3 245 1274 2
3 725 1276 8
3 390 1276 6
3 763 1276 11
3 89 1276 4
3 15 1276 5
3 262 1276 8
3 692 1276 4
3 627 1276 3
3 159 1276 3
3 10 1276 9
3 91 1276 9
3 13 1276 9
3 788 1276 3
3 368 1276 7
3 781 1276 9
3 158 1276 1
3 662 1276 2
3 477 1276 4
3 245 1276 2
3 725 1277 8
3 390 1277 6
3 763 1277 11
3 89 1277 4
3 15 1277 5
3 262 1277 8
3 692 1277 4
3 627 1277 3
3 159 1277 3
3 10 1277 9
3 91 1277 9
3 13 1277 9
3 788 1277 3
3 368 1277 7
3 781 1277 9
3 158 1277 1
3 662 1277 2
3 477 1277 4
3 245 1277 2
3 725 1289 8
3 390 1289 6
3 763 1289 11
3 89 1289 4
3 15 1289 5
3 262 1289 8
3 692 1289 4
3 627 1289 3
3 159 1289 3
3 10 1289 9
3 91 1289 9
3 13 1289 9
3 788 1289 3
3 368 1289 7
3 781 1289 9
3 158 1289 1
3 662 1289 2
3 477 1289 4
3 245 1289 2
3 725 1294 8
3 390 1294 6
3 763 1294 11
3 89 1294 4
3 15 1294 5
3 262 1294 8
3 692 1294 4
3 627 1294 3
3 159 1294 3
3 10 1294 9
3 91 1294 9
3 13 1294 9
3 788 1294 3
3 368 1294 7
3 781 1294 9
3 158 1294 1
3 662 1294 2
3 477 1294 4
3 245 1294 2
3 725 1343 8
3 390 1343 6
3 763 1343 11
3 89 1343 4
3 15 1343 5
3 262 1343 8
3 692 1343 4
3 627 1343 3
3 159 1343 3
3 10 1343 9
3 91 1343 9
3 13 1343 9
3 788 1343 3
3 368 1343 7
3 781 1343 9
3 158 1343 1
3 662 1343 2
3 477 1343 4
3 245 1343 2
3 725 1346 8
3 390 1346 6
3 763 1346 11
3 89 1346 4
3 15 1346 5
3 262 1346 8
3 692 1346 4
3 627 1346 3
3 159 1346 3
3 10 1346 9
3 91 1346 9
3 13 1346 9
3 788 1346 3
3 368 1346 7
3 781 1346 9
3 158 1346 1
3 662 1346 2
3 477 1346 4
3 245 1346 2
3 725 1349 8
3 390 1349 6
3 763 1349 11
3 89 1349 4
3 15 1349 5
3 262 1349 8
3 692 1349 4
3 627 1349 3
3 159 1349 3
3 10 1349 9
3 91 1349 9
3 13 1349 9
3 788 1349 3
3 368 1349 7
3 781 1349 9
3 158 1349 1
3 662 1349 2
3 477 1349 4
3 245 1349 2
3 725 1350 8
3 390 1350 6
3 763 1350 13
3 89 1350 4
3 15 1350 6
3 262 1350 8
3 692 1350 4
3 627 1350 3
3 159 1350 3
3 10 1350 9
3 91 1350 13
3 13 1350 9
3 788 1350 3
3 368 1350 10
3 781 1350 13
3 158 1350 1
3 662 1350 2
3 477 1350 4
3 245 1350 2
3 725 1351 8
3 390 1351 6
3 763 1351 13
3 89 1351 4
3 15 1351 6
3 262 1351 8
3 692 1351 4
3 627 1351 3
3 159 1351 3
3 10 1351 9
3 91 1351 13
3 13 1351 9
3 788 1351 3
3 368 1351 10
3 781 1351 13
3 158 1351 1
3 662 1351 2
3 477 1351 4
3 245 1351 2
3 725 1354 8
3 390 1354 6
3 763 1354 13
3 89 1354 4
3 15 1354 6
3 262 1354 8
3 692 1354 4
3 627 1354 3
3 159 1354 3
3 10 1354 9
3 91 1354 13
3 13 1354 9
3 788 1354 3
3 368 1354 10
3 781 1354 13
3 158 1354 1
3 662 1354 2
3 477 1354 4
3 245 1354 2
3 725 1357 8
3 390 1357 6
3 763 1357 13
3 89 1357 4
3 15 1357 6
3 262 1357 8
3 692 1357 4
3 627 1357 3
3 159 1357 3
3 10 1357 9
3 91 1357 13
3 13 1357 9
3 788 1357 3
3 368 1357 10
3 781 1357 13
3 158 1357 1
3 662 1357 2
3 477 1357 4
3 245 1357 2
3 725 1358 8
3 390 1358 6
3 763 1358 16
3 89 1358 4
3 15 1358 6
3 262 1358 12
3 692 1358 4
3 627 1358 3
3 159 1358 3
3 10 1358 9
3 91 1358 13
3 13 1358 12
3 788 1358 3
3 368 1358 10
3 781 1358 13
3 158 1358 1
3 662 1358 2
3 477 1358 4
3 245 1358 2
3 725 1359 8
3 390 1359 6
3 763 1359 16
3 89 1359 4
3 15 1359 6
3 262 1359 12
3 692 1359 4
3 627 1359 3
3 159 1359 3
3 10 1359 9
3 91 1359 13
3 13 1359 12
3 788 1359 3
3 368 1359 10
3 781 1359 13
3 158 1359 1
3 662 1359 2
3 477 1359 4
3 245 1359 2
3 725 1366 8
3 390 1366 6
3 763 1366 16
3 89 1366 4
3 15 1366 6
3 262 1366 12
3 692 1366 4
3 627 1366 3
3 159 1366 3
3 10 1366 9
3 91 1366 13
3 13 1366 12
3 788 1366 3
3 368 1366 10
3 781 1366 13
3 158 1366 1
3 662 1366 2
3 477 1366 4
3 245 1366 2
3 725 1368 8
3 390 1368 6
3 763 1368 16
3 89 1368 4
3 15 1368 6
3 262 1368 12
3 692 1368 4
3 627 1368 3
3 159 1368 3
3 10 1368 9
3 91 1368 13
3 13 1368 12
3 788 1368 3
3 368 1368 10
3 781 1368 13
3 158 1368 1
3 662 1368 2
3 477 1368 4
3 245 1368 2
3 725 1373 8
3 390 1373 6
3 763 1373 16
3 89 1373 4
3 15 1373 6
3 262 1373 12
3 692 1373 4
3 627 1373 3
3 159 1373 3
3 10 1373 9
3 91 1373 13
3 13 1373 12
3 788 1373 3
3 368 1373 10
3 781 1373 13
3 158 1373 1
3 662 1373 2
3 477 1373 4
3 245 1373 2
3 725 1375 8
3 390 1375 6
3 763 1375 16
3 89 1375 4
3 15 1375 6
3 262 1375 12
3 692 1375 4
3 627 1375 3
3 159 1375 3
3 10 1375 9
3 91 1375 13
3 13 1375 12
3 788 1375 3
3 368 1375 10
3 781 1375 13
3 158 1375 1
3 662 1375 2
3 477 1375 4
3 245 1375 2
3 725 1376 8
3 390 1376 6
3 763 1376 16
3 89 1376 4
3 15 1376 6
3 262 1376 12
3 692 1376 4
3 627 1376 3
3 159 1376 3
3 10 1376 9
3 91 1376 13
3 13 1376 12
3 788 1376 3
3 368 1376 10
3 781 1376 13
3 158 1376 1
3 662 1376 2
3 477 1376 4
3 245 1376 2
3 725 1377 12
3 390 1377 10
3 763 1377 16
3 89 1377 7
3 15 1377 6
3 262 1377 14
3 692 1377 4
3 627 1377 3
3 159 1377 3
3 10 1377 9
3 91 1377 17
3 13 1377 12
3 788 1377 3
3 368 1377 10
3 781 1377 17
3 158 1377 1
3 662 1377 2
3 477 1377 4
3 245 1377 2
3 725 1378 12
3 390 1378 10
3 763 1378 16
3 89 1378 7
3 15 1378 6
3 262 1378 14
3 692 1378 4
3 627 1378 3
3 159 1378 3
3 10 1378 9
3 91 1378 17
3 13 1378 12
3 788 1378 3
3 368 1378 10
3 781 1378 17
3 158 1378 1
3 662 1378 2
3 477 1378 4
3 245 1378 2
3 725 1408 12
3 390 1408 10
3 763 1408 16
3 89 1408 7
3 15 1408 6
3 262 1408 14
3 692 1408 4
3 627 1408 3
3 159 1408 3
3 10 1408 9
3 91 1408 17
3 13 1408 12
3 788 1408 3
3 368 1408 10
3 781 1408 17
3 158 1408 1
3 662 1408 2
3 477 1408 4
3 245 1408 2
3 725 1469 12
3 390 1469 10
3 763 1469 16
3 89 1469 7
3 15 1469 6
3 262 1469 14
3 692 1469 4
3 627 1469 3
3 159 1469 3
3 10 1469 9
3 91 1469 17
3 13 1469 12
3 788 1469 3
3 368 1469 10
3 781 1469 17
3 158 1469 1
3 662 1469 2
3 477 1469 4
3 245 1469 2
3 725 1487 12
3 390 1487 10
3 763 1487 16
3 89 1487 7
3 15 1487 6
3 262 1487 14
3 692 1487 4
3 627 1487 3
3 159 1487 3
3 10 1487 9
3 91 1487 17
3 13 1487 12
3 788 1487 3
3 368 1487 10
3 781 1487 17
3 158 1487 1
3 662 1487 2
3 477 1487 4
3 245 1487 2
3 725 1494 12
3 390 1494 10
3 763 1494 16
3 89 1494 7
3 15 1494 6
3 262 1494 14
3 692 1494 4
3 627 1494 3
3 159 1494 3
3 10 1494 9
3 91 1494 17
3 13 1494 12
3 788 1494 3
3 368 1494 10
3 781 1494 17
3 158 1494 1
3 662 1494 2
3 477 1494 4
3 245 1494 2
3 725 1495 15
3 390 1495 10
3 763 1495 16
3 89 1495 10
3 15 1495 6
3 262 1495 14
3 692 1495 4
3 627 1495 3
3 159 1495 3
3 10 1495 9
3 91 1495 20
3 13 1495 12
3 788 1495 3
3 368 1495 10
3 781 1495 17
3 158 1495 1
3 662 1495 2
3 477 1495 4
3 245 1495 2
3 725 1497 19
3 390 1497 11
3 763 1497 16
3 89 1497 10
3 15 1497 6
3 262 1497 16
3 692 1497 4
3 627 1497 3
3 159 1497 3
3 10 1497 9
3 91 1497 20
3 13 1497 12
3 788 1497 3
3 368 1497 10
3 781 1497 17
3 158 1497 1
3 662 1497 2
3 477 1497 4
3 245 1497 2
3 725 1499 19
3 390 1499 11
3 763 1499 16
3 89 1499 10
3 15 1499 6
3 262 1499 16
3 692 1499 4
3 627 1499 3
3 159 1499 3
3 10 1499 10
3 91 1499 20
3 13 1499 12
3 788 1499 3
3 368 1499 14
3 781 1499 19
3 158 1499 1
3 662 1499 2
3 477 1499 4
3 245 1499 2
3 725 1500 19
3 390 1500 11
3 763 1500 16
3 89 1500 10
3 15 1500 6
3 262 1500 16
3 692 1500 4
3 627 1500 3
3 159 1500 3
3 10 1500 10
3 91 1500 20
3 13 1500 12
3 788 1500 3
3 368 1500 14
3 781 1500 19
3 158 1500 1
3 662 1500 2
3 477 1500 5
3 245 1500 2
3 725 1542 19
3 390 1542 11
3 763 1542 16
3 89 1542 10
3 15 1542 6
3 262 1542 17
3 692 1542 5
3 627 1542 5
3 159 1542 5
3 10 1542 10
3 91 1542 20
3 13 1542 12
3 788 1542 3
3 368 1542 14
3 781 1542 19
3 158 1542 1
3 662 1542 2
3 477 1542 5
3 245 1542 2
3 725 1606 19
3 390 1606 11
3 763 1606 16
3 89 1606 10
3 15 1606 6
3 262 1606 17
3 692 1606 5
3 627 1606 5
3 159 1606 5
3 10 1606 11
3 91 1606 20
3 13 1606 12
3 788 1606 3
3 368 1606 14
3 781 1606 20
3 158 1606 1
3 662 1606 2
3 477 1606 5
3 245 1606 2
3 725 1637 19
3 390 1637 11
3 763 1637 16
3 89 1637 10
3 15 1637 6
3 262 1637 17
3 692 1637 5
3 627 1637 5
3 159 1637 5
3 10 1637 11
3 91 1637 20
3 13 1637 12
3 788 1637 3
3 368 1637 14
3 781 1637 20
3 158 1637 1
3 662 1637 2
3 477 1637 5
3 245 1637 3
3 725 2033 19
3 390 2033 13
3 763 2033 17
3 89 2033 10
3 15 2033 7
3 262 2033 17
3 692 2033 5
3 627 2033 5
3 159 2033 5
3 10 2033 11
3 91 2033 20
3 13 2033 12
3 788 2033 3
3 368 2033 14
3 781 2033 20
3 158 2033 1
3 662 2033 2
3 477 2033 5
3 245 2033 3
3 725 2051 19
3 390 2051 13
3 763 2051 17
3 89 2051 10
3 15 2051 7
3 262 2051 17
3 692 2051 5
3 627 2051 5
3 159 2051 5
3 10 2051 11
3 91 2051 20
3 13 2051 12
3 788 2051 3
3 368 2051 16
3 781 2051 20
3 158 2051 1
3 662 2051 6
3 477 2051 5
3 245 2051 3
3 725 2107 19
3 390 2107 13
3 763 2107 17
3 89 2107 10
3 15 2107 7
3 262 2107 17
3 692 2107 5
3 627 2107 5
3 159 2107 5
3 10 2107 11
3 91 2107 20
3 13 2107 12
3 788 2107 3
3 368 2107 16
3 781 2107 20
3 158 2107 1
3 662 2107 6
3 477 2107 6
3 245 2107 3
3 725 2773 19
3 390 2773 17
3 763 2773 17
3 89 2773 13
3 15 2773 7
3 262 2773 21
3 692 2773 5
3 627 2773 5
3 159 2773 5
3 10 2773 11
3 91 2773 20
3 13 2773 12
3 788 2773 3
3 368 2773 20
3 781 2773 20
3 158 2773 1
3 662 2773 6
3 477 2773 6
3 245 2773 3
3 725 2774 19
3 390 2774 17
3 763 2774 17
3 89 2774 13
3 15 2774 7
3 262 2774 21
3 692 2774 5
3 627 2774 5
3 159 2774 5
3 10 2774 11
3 91 2774 20
3 13 2774 12
3 788 2774 3
3 368 2774 20
3 781 2774 20
3 158 2774 1
3 662 2774 6
3 477 2774 6
3 245 2774 3
3 725 2858 19
3 390 2858 17
3 763 2858 17
3 89 2858 13
3 15 2858 7
3 262 2858 21
3 692 2858 5
3 627 2858 5
3 159 2858 5
3 10 2858 11
3 91 2858 20
3 13 2858 12
3 788 2858 3
3 368 2858 20
3 781 2858 20
3 158 2858 1
3 662 2858 6
3 477 2858 6
3 245 2858 3
3 725 2868 19
3 390 2868 17
3 763 2868 17
3 89 2868 13
3 15 2868 7
3 262 2868 21
3 692 2868 5
3 627 2868 5
3 159 2868 5
3 10 2868 11
3 91 2868 20
3 13 2868 12
3 788 2868 3
3 368 2868 20
3 781 2868 20
3 158 2868 1
3 662 2868 6
3 477 2868 6
3 245 2868 3
3 725 2880 19
3 390 2880 17
3 763 2880 17
3 89 2880 13
3 15 2880 7
3 262 2880 21
3 692 2880 5
3 627 2880 5
3 159 2880 5
3 10 2880 11
3 91 2880 20
3 13 2880 12
3 788 2880 3
3 368 2880 20
3 781 2880 20
3 158 2880 1
3 662 2880 6
3 477 2880 6
3 245 2880 3
2 156 0 1
2 145 0 1
2 77 0 2
2 98 0 2
2 232 0 2
2 111 0 1
2 349 0 1
2 65 0 2
2 42 0 1
2 307 0 1
2 846 0 2
2 295 0 2
2 92 0 2
2 382 0 1
2 867 0 2
2 730 0 1
2 25 0 2
2 120 0 1
2 698 0 1
2 156 1 1
2 145 1 1
2 77 1 2
2 98 1 2
2 232 1 2
2 111 1 1
2 349 1 1
2 65 1 2
2 42 1 1
2 307 1 1
2 846 1 2
2 295 1 2
2 92 1 2
2 382 1 1
2 867 1 2
2 730 1 1
2 25 1 2
2 120 1 1
2 698 1 1
2 156 3 1
2 145 3 1
2 77 3 2
2 98 3 2
2 232 3 2
2 111 3 1
2 349 3 1
2 65 3 4
2 42 3 1
2 307 3 1
2 846 3 2
2 295 3 2
2 92 3 2
2 382 3 1
2 867 3 2
2 730 3 1
2 25 3 2
2 120 3 1
2 698 3 1
2 156 70 1
2 145 70 1
2 77 70 2
2 98 70 2
2 232 70 2
2 111 70 1
2 349 70 1
2 65 70 4
2 42 70 1
2 307 70 1
2 846 70 2
2 295 70 2
2 92 70 2
2 382 70 1
2 867 70 2
2 730 70 1
2 25 70 2
2 120 70 1
2 698 70 1
2 156 82 1
2 145 82 1
2 77 82 2
2 98 82 2
2 232 82 2
2 111 82 1
2 349 82 2
2 65 82 5
2 42 82 3
2 307 82 3
2 846 82 2
2 295 82 2
2 92 82 2
2 382 82 1
2 867 82 2
2 730 82 1
2 25 82 2
2 120 82 1
2 698 82 1
2 156 83 1
2 145 83 1
2 77 83 2
2 98 83 2
2 232 83 2
2 111 83 1
2 349 83 2
2 65 83 5
2 42 83 3
2 307 83 3
2 846 83 2
2 295 83 4
2 92 83 2
2 382 83 1
2 867 83 4
2 730 83 3
2 25 83 2
2 120 83 1
2 698 83 1
2 156 167 1
2 145 167 1
2 77 167 2
2 98 167 4
2 232 167 2
2 111 167 1
2 349 167 2
2 65 167 5
2 42 167 3
2 307 167 3
2 846 167 2
2 295 167 4
2 92 167 2
2 382 167 1
2 867 167 4
2 730 167 3
2 25 167 2
2 120 167 1
2 698 167 1
2 156 286 1
2 145 286 1
2 77 286 2
2 98 286 4
2 232 286 2
2 111 286 1
2 349 286 6
2 65 286 6
2 42 286 3
2 307 286 3
2 846 286 6
2 295 286 4
2 92 286 2
2 382 286 1
2 867 286 4
2 730 286 3
2 25 286 2
2 120 286 1
2 698 286 1
2 156 322 1
2 145 322 1
2 77 322 2
2 98 322 4
2 232 322 2
2 111 322 1
2 349 322 6
2 65 322 6
2 42 322 3
2 307 322 3
2 846 322 6
2 295 322 4
2 92 322 2
2 382 322 1
2 867 322 6
2 730 322 3
2 25 322 4
2 120 322 1
2 698 322 3
2 156 611 1
2 145 611 1
2 77 611 2
2 98 611 4
2 232 611 2
2 111 611 1
2 349 611 6
2 65 611 6
2 42 611 3
2 307 611 3
2 846 611 6
2 295 611 4
2 92 611 2
2 382 611 1
2 867 611 6
2 730 611 3
2 25 611 4
2 120 611 1
2 698 611 3
2 156 614 1
2 145 614 1
2 77 614 2
2 98 614 4
2 232 614 2
2 111 614 1
2 349 614 6
2 65 614 6
2 42 614 3
2 307 614 3
2 846 614 6
2 295 614 4
2 92 614 2
2 382 614 1
2 867 614 6
2 730 614 3
2 25 614 4
2 120 614 1
2 698 614 3
2 156 615 1
2 145 615 1
2 77 615 2
2 98 615 4
2 232 615 2
2 111 615 1
2 349 615 6
2 65 615 6
2 42 615 3
2 307 615 3
2 846 615 6
2 295 615 4
2 92 615 2
2 382 615 1
2 867 615 6
2 730 615 3
2 25 615 4
2 120 615 1
2 698 615 3
2 156 616 1
2 145 616 1
2 77 616 2
2 98 616 4
2 232 616 2
2 111 616 1
2 349 616 6
2 65 616 6
2 42 616 3
2 307 616 3
2 846 616 6
2 295 616 4
2 92 616 2
2 382 616 1
2 867 616 6
2 730 616 3
2 25 616 4
2 120 616 1
2 698 616 3
2 156 617 1
2 145 617 1
2 77 617 2
2 98 617 4
2 232 617 2
2 111 617 1
2 349 617 6
2 65 617 7
2 42 617 4
2 307 617 3
2 846 617 6
2 295 617 4
2 92 617 2
2 382 617 1
2 867 617 6
2 730 617 3
2 25 617 5
2 120 617 1
2 698 617 3
2 156 625 1
2 145 625 1
2 77 625 2
2 98 625 4
2 232 625 2
2 111 625 1
2 349 625 6
2 65 625 7
